Date,Sum,AA,AAME,AAWW,ABG,ACH,ACLS,ACM,ADC,ADM,ADUS,AE,AEE,AEG,AEIS,AEP,AER,AGYS,ARI,AVNW,BAC,CCM,CCRN,CENT,ERII,ETN,HTH,IDA,IEP,IMOS,INDB,INFI,MT,NBR,NBTB,NC,REG,RELL,SRT,STC,TNK
1/13/2017,223863.23,2397.778637,8042.459416,3263.799531,12375.47854,895.2892875,6352.796053,2930.063332,7474.352622,4198.337943,8859.095952,4740.702383,6582.508047,2430.021652,8755.390981,6003.083078,9914.367269,2668.393782,4762.341301,385.9060316,3499.216609,2177.792897,3552.104208,8012.315025,3687.766714,6491.338983,5836.52692,7600.72855,5260.318631,18599.38585,9476.735999,650.1677852,487.5735163,1782.300872,6587.353905,14159.72237,6332.800661,2482.68399,2661.691542,10385.67308,1106.864533
1/20/2017,225614.11,2457.350793,7338.743958,3465.981939,12480.8433,1018.479838,6373.355263,3197.713045,7700.748006,4203.054619,8845.952156,5086.648342,6616.812625,2520.189603,9051.139575,5997.338718,10523.31161,2639.896373,4868.793712,381.7114009,3640.55247,2197.022856,3584.669339,8467.980542,3581.081081,6834.450769,6062.798566,7631.634175,5455.178219,18659.27019,9059.166239,880.8724832,488.1762279,1693.74553,6675.702719,12824.8838,6421.941824,2494.716284,2677.238806,10431.25364,1083.708331
1/27/2017,224491.76,2550.770886,7740.865893,3356.867629,12394.63544,1051.435272,6722.861842,3028.670911,7715.621581,4150.221864,8964.247634,5059.740448,6681.607762,2475.105347,9439.308974,6106.485012,10597.05019,2448.186528,4871.595729,354.3064798,3528.726423,2201.830346,3654.809619,8342.364286,3623.755334,6710.813905,5641.978458,7634.531189,5269.257852,18838.91577,8627.44068,956.3758389,486.9708257,1617.40495,6359.265202,12292.694,6386.100991,2406.478811,2736.318408,10359.28191,1106.864533
2/3/2017,225537.50,2533.169771,7439.274442,3315.147668,12557.47184,1017.695185,6476.151316,3156.281243,7852.781196,4107.766482,9227.128812,5108.429132,6720.994222,2497.647475,9550.215491,6072.018739,10927.68768,2305.699482,4936.027283,386.4653157,3590.851621,2201.830346,3739.97996,8078.817488,3467.283073,6784.614676,5749.826244,7725.364048,5184.340545,18958.68147,8691.138246,1006.711409,496.6138764,1581.779327,6401.026413,11934.99399,6516.600079,2502.737649,2695.895522,10956.65471,1083.708331
2/10/2017,227896.35,2468.18194,7821.291938,3465.981939,12634.09904,1062.420417,6496.710526,3181.969155,7948.626654,4160.598795,9148.264721,5281.401591,6726.075223,2565.273298,9517.868208,6155.634982,11129.87655,2409.326425,5020.068999,405.4809753,3817.609801,2259.520224,3822.645291,8544.334729,3303.698435,6879.495355,5988.784598,7761.350129,5040.431018,18898.79713,9009.625597,1078.020134,555.6771445,1566.511048,6656.426221,11586.01783,6388.858861,2507.761993,2699.004975,10788.71854,1143.914112
2/17/2017,227707.68,2323.313408,7640.337481,3594.351641,12614.94215,1048.296659,6661.184622,3012.098373,8034.558696,4284.833738,8872.239748,5203.242428,6869.643867,2411.988062,9497.842926,6378.861412,10865.84206,2367.875648,5053.685784,439.0380215,3817.609801,2365.285,3980.460922,8539.408374,2987.197724,6912.081824,6027.358641,7995.746696,4877.749396,19198.2099,9179.483794,956.3758389,526.7481594,1536.992601,6773.684192,10966.58441,6520.274613,2532.069741,2851.368159,10872.68621,1116.127039
2/24/2017,227772.04,2426.887705,7539.804926,3664.954848,12576.62874,1048.296659,6393.914474,3062.645134,8044.473127,4321.895007,8845.952156,5080.240243,7003.04816,2466.088833,9614.910674,6426.213774,10896.76522,2334.196891,5098.508165,430.6487599,3918.56342,2346.055041,4005.511022,8359.605665,3104.55192,6911.124116,6016.763329,8083.282973,4808.922328,18587.41136,9250.257494,1262.583893,534.5831172,1486.098971,6505.436056,12057.13642,6399.303696,2434.838259,2705.223881,10630.37902,1088.339329
3/3/2017,222814.61,2393.716915,7539.804926,3478.818974,11781.6092,945.5070915,6085.526316,2909.347223,7641.25959,4221.164738,8701.366456,4543.388184,6875.995228,2556.256784,9713.493332,6265.798258,10677.92555,2303.108808,4994.856286,404.6420491,3949.201919,2264.327714,3524.549098,8812.807635,2880.512091,6918.927525,5925.632061,7800.25554,4781.212986,19174.25646,9165.327351,1203.85906,506.8595134,1346.649864,6412.465101,11967.62204,5827.227382,2406.478811,2574.626866,10292.10627,1046.119476
3/10/2017,228931.84,2395.070935,7941.928932,3449.935727,12049.80881,1039.665474,6558.388158,2989.725135,7890.789798,4262.02637,8793.375657,4446.050062,6905.217189,2632.899121,10519.10135,6378.861412,10853.94886,2383.419689,5092.906109,426.1744871,3928.950052,2249.905244,3652.304609,9243.842118,3001.422475,7088.034868,5929.870048,7889.734038,4821.980896,19030.53881,9221.949427,1363.255034,549.6502587,1378.2044,6515.838947,13018.95008,6153.995621,2507.761993,2776.741294,10548.81009,1050.810451
3/17/2017,225211.77,2254.941068,7841.398449,3321.566025,11580.45996,974.5392595,6476.151316,2862.114803,7932.102331,4334.248505,7991.587802,4867.579963,7179.575361,2497.647475,10152.49634,6518.015966,10651.75999,2468.911917,5182.548891,423.6577086,3594.007825,2317.210102,3399.298597,9051.724138,2652.916074,7032.952697,5607.733322,8055.076763,4710.782943,20240.15843,8613.286646,1342.281879,518.9132433,1294.501786,6024.807636,12502.04583,6227.12387,2394.325183,2636.81592,10499.36629,985.1347059
3/24/2017,230965.98,2267.126236,8042.459416,3571.887071,11858.23793,954.1382766,7421.874589,2951.607673,7908.965072,4381.763312,8477.917981,4928.168363,7005.369539,2339.853701,10526.80169,6489.991469,10920.55186,2453.367876,5244.178921,421.7002143,3718.637214,2269.135204,3569.639279,9133.005419,2958.748222,7170.171084,5809.069664,8067.71897,4675.861199,21545.58734,9399.181995,1401.006711,506.2568227,1333.357326,6128.181668,12300.53948,6155.84662,2394.325183,2733.208955,10550.10155,980.4437949
3/31/2017,227509.99,2277.957722,7841.398449,3465.981939,11187.73985,1008.279347,7442.434211,2932.549025,8096.890099,4300.038392,8609.35857,4725.781468,7007.93068,2254.194849,10268.02204,6534.443953,10504.28164,2401.554404,5394.884004,408.5570378,3623.607333,2249.905244,3476.953908,8928.571429,2884.068279,7221.386932,5760.325138,8110.516447,4585.798971,20850.95549,8872.658251,1078.020134,496.6138764,1408.000689,5940.815769,12913.81403,6112.33942,2370.016944,2652.363184,10339.92087,971.0614639
4/7/2017,225657.24,2097.887097,7640.337481,3459.563583,11024.90402,970.6159936,7462.993421,2702.187627,8369.06699,4207.860928,8307.045216,4872.738731,7043.796507,2177.55195,9927.602927,6526.713984,10235.48977,2375.647668,5374.785307,399.8881342,3480.283182,2240.290265,3529.559118,8982.758867,2862.731152,7103.496645,5495.408912,8238.895982,4411.189353,20779.09517,8666.316211,771.8120805,442.974699,1311.884388,5743.759253,13457.00357,6230.827669,2406.478811,2714.552239,10663.64397,947.6058908
4/14/2017,231125.85,2168.967546,7678.924333,3674.582704,11925.28736,1040.450127,7689.145148,2772.621849,8532.707171,4266.778259,8543.638275,4899.809258,6986.155173,2218.127669,10617.68339,6517.048378,10618.45837,2437.823834,5409.241065,427.8523394,3594.007825,2187.407876,3544.589178,9362.068473,2898.29303,7153.745995,5779.400318,8221.39402,4522.387486,20347.94369,9228.416557,826.3422819,456.2338102,1203.497896,6052.266712,13798.68591,6335.430554,2374.068644,2848.258706,11009.11767,956.9881582
4/21/2017,238000.75,2336.852528,7779.962347,3838.254009,12193.48697,973.7546063,8100.329359,2887.802632,8268.878602,4350.403582,8898.52734,5126.686552,7048.920554,2303.787082,11558.84208,6580.829073,10849.19148,2575.129534,5558.540436,463.087238,3684.363626,2134.525488,3694.88978,9534.482512,3022.759602,7391.461322,6037.956014,8341.992899,4825.656917,21210.24664,9271.109121,880.8724832,467.0821797,1078.75142,6370.46572,14736.11642,5913.315775,2406.478811,2817.164179,11526.11202,961.6791965
4/28/2017,230361.46,2101.271945,7537.470284,3388.960054,11159.00383,906.2744321,8100.329359,2788.366488,7554.202694,4029.207759,9463.722397,5169.226696,7020.740356,2389.446495,11443.31499,6573.097835,10968.12583,2585.492228,5294.394975,578.8590475,3715.521621,2110.488039,3111.222445,8982.758867,2752.489331,7328.65068,5927.751169,8185.406257,4785.221232,20898.85939,9150.149479,784.3959732,456.8365426,969.3426525,6241.248739,12878.77067,5790.198847,2398.376392,2786.069652,11122.66009,933.5325851
5/5/2017,230723.13,2109.39539,7375.808217,3279.845744,10823.75479,896.0739407,8696.546053,2751.906156,7544.182922,3994.047334,10567.82361,5112.507595,6974.628199,2236.161259,12114.90975,6527.680418,10694.57636,2556.994819,5248.45842,538.3109499,3749.795382,2115.295529,3058.617234,8672.413547,2734.708393,7502.017934,5527.198511,8151.336603,4571.093812,21557.56332,9050.53644,759.2281879,468.2875819,1009.220604,6019.961489,12589.6555,5761.502341,2451.044079,3212.064677,10784.43937,933.5325851
5/12/2017,225965.52,2160.844101,7476.848303,2955.712312,10814.17644,878.8115706,8778.782895,2687.272218,7560.880784,3925.625452,9923.764458,5164.070752,7083.506324,2213.619131,11735.98336,6658.547232,10335.3951,2450.777202,5234.10037,496.3646421,3542.59779,2014.338242,3018.537074,7266.009852,2748.933144,7408.524261,5333.723917,8157.212831,4668.634797,22168.36186,8837.08165,713.0872483,437.5505456,1005.130473,5816.442326,11380.62765,5576.364959,2451.582472,3236.940299,10743.37057,905.3858465
5/19/2017,230645.40,2240.047928,7577.886318,3212.451715,10689.65498,904.7051258,9046.052632,2679.814388,7694.467127,4081.104772,9923.764458,5093.169869,7179.575361,2231.652721,11828.40463,6901.262291,10692.19814,2461.139896,5440.823034,505.8724719,3622.048846,1658.583994,2818.136273,7517.241379,2834.28165,7529.287452,5469.667691,8449.939254,4609.946086,23880.98881,8829.964563,729.8657718,440.3630812,913.1043053,5868.132137,11503.28325,5835.055605,2439.30407,3526.119403,10866.58057,919.4592158
5/26/2017,233461.96,2229.893519,7375.808217,3234.916605,11034.48238,910.1976981,9169.407484,2721.246191,7751.23941,4004.499547,10081.49264,5219.500383,7275.644252,2346.218993,12031.73195,7038.702562,10701.71313,2603.626943,5305.879238,497.2035683,3525.461169,1749.926301,2960.921844,7741.37931,2766.714083,7604.278657,5410.192734,8642.805569,4590.067828,24875.03046,8780.15989,780.2013423,440.1622052,903.9016946,5819.67365,11853.72621,5691.234502,2472.046311,3479.477612,10941.47269,899.7241893
6/2/2017,238151.95,2267.802975,7779.962347,3369.704663,10373.5636,931.3833342,10546.875,2692.244353,7824.709352,4022.693118,10068.34884,5315.580105,7218.001155,2290.467525,13113.06158,7013.36132,10699.33397,2564.766839,5277.167096,478.1879088,3590.181599,1697.043913,3046.092184,7751.231281,2869.843528,7350.088024,5548.262258,8716.233135,4536.111044,25641.5271,9150.149479,742.4496644,429.1129388,819.0331725,6156.185107,12800.54683,5772.485198,2431.118633,3473.258706,10922.14337,861.6405803
6/9/2017,236727.02,2080.963197,7375.808217,3388.960054,11063.21839,933.7372937,9333.88199,2698.044721,8048.465935,4056.20758,9595.162986,5486.673811,7234.654379,2313.696882,11105.97626,7031.879476,10991.91223,2546.632124,5412.112873,482.3825395,3679.271842,1673.006464,3356.713427,7689.654926,2809.388336,7415.340625,5652.344293,8808.261224,4723.538541,25090.60843,9434.757954,717.2818792,404.0010363,833.3483282,6250.472147,13398.78215,5982.614949,2431.118633,3435.945274,10936.64071,823.5569713
6/16/2017,232585.30,2017.329251,7476.848303,3263.799531,10038.31456,980.816485,9621.710526,2679.814388,7871.464299,3928.853133,9726.603575,5399.830874,7264.539948,2276.529237,10552.98883,6997.764161,10727.87774,2632.124352,5515.47371,468.9597211,3583.93054,1701.851403,3163.827655,7886.699507,2741.820768,7379.305703,5384.703204,8603.64604,4757.614913,24587.60259,9057.653688,843.1208054,419.670785,781.2000469,5844.069128,13073.27228,5629.596629,2414.746776,3557.21393,10941.87832,790.2337896
6/23/2017,232540.32,2246.140613,7476.848303,3273.427387,10699.23333,998.0788551,8778.782895,2654.126642,7697.804954,3890.550465,9792.32387,5388.166336,7061.852461,2411.262653,10038.50882,6784.290932,11141.76974,2582.901554,5331.718581,495.805358,3801.185197,1788.38622,3168.837675,7903.940887,2976.529161,7463.060772,5590.745418,8379.449747,4835.236897,23557.62706,9632.337216,687.9194631,449.0015848,832.325847,6091.161496,12492.62835,5881.75098,2443.397526,3821.517413,11099.95995,899.7241893
6/30/2017,232614.17,2294.20434,7476.848303,3526.957612,10488.50575,1045.158046,8799.342105,2668.213653,7726.760931,3935.55554,9871.18796,5371.31538,6939.203406,2462.368587,10064.69364,6727.754912,11079.92436,2642.487047,5478.717833,506.9910401,3862.141097,1922.995935,3048.597194,7564.039163,2802.27596,7650.05394,5628.978452,8229.659922,4806.838873,23952.85061,9539.375679,654.3624161,463.6669534,765.86241,5970.865085,12501.42404,5763.145897,2472.046311,4017.412935,11044.02574,847.3591713
7/7/2017,235082.94,2437.718852,7375.808217,3658.536491,10986.58966,1069.482295,8840.460526,2710.47402,7789.211681,3962.368368,10002.62855,5386.869434,6983.097464,2536.70444,10881.08424,6655.62358,11391.53164,2772.020725,5358.079621,511.1856709,3848.075308,1932.610915,3078.657315,7687.191872,2898.29303,7822.434477,5592.869335,8223.786273,4912.858701,24084.5908,9589.43346,599.8322148,503.4442871,797.5603708,6009.880631,11911.98356,5832.25485,2447.49049,3976.99005,11199.67385,823.5569713
7/14/2017,236385.55,2485.783054,7375.808217,3706.675129,11034.48238,1176.195129,9416.118421,2674.01427,7974.868123,3966.197762,9976.340957,5411.495857,7247.756705,2504.182329,11671.28864,6696.562788,11872.02664,2717.61658,5328.6572,521.8120689,3741.791932,1918.188446,3108.717435,8169.950246,2759.601707,7748.415595,5497.282512,8440.148755,5016.983892,23725.29816,9489.319825,591.442953,515.698893,802.6728486,5969.239826,11832.80352,6023.706114,2402.468865,3921.0199,10119.83612,833.0779531
7/21/2017,235265.17,2461.412516,7274.770202,3719.512164,10335.24923,1211.504522,9416.118421,2637.553938,8276.985797,4000.670152,9384.858307,5249.47675,7264.539948,2559.934358,11292.35977,6888.590054,11627.02212,2629.533679,5269.807903,523.4899212,3768.362949,1913.380956,2973.446894,7977.832266,2766.714083,7644.206712,5388.951726,8511.616157,5028.343102,23833.08342,10240.17,557.885906,519.9177069,804.7179498,5847.319088,12325.47087,6274.927931,2418.840722,3902.363184,9706.385818,837.8383803
7/28/2017,231312.32,2510.8304,7274.770202,4184.852075,10220.30613,1319.001931,8511.513569,2615.180783,8366.439758,4081.104772,8898.52734,4799.705037,7358.783439,2611.039731,10556.06921,6940.251667,11762.60728,2650.259067,5275.69506,482.3825395,3809.000273,1922.995935,3156.312625,8847.290148,2421.763869,7168.941205,5463.296855,8485.184512,4918.537768,22803.11235,10097.15197,570.4697987,512.8863992,762.7948947,5743.281795,11542.4824,6175.932182,2365.634151,3877.487562,9453.450656,794.9943441
