Date,AA,AAWW,ABG,ACH,ACLS,ACM,ADC,ADM,ADUS,AEE,AEG,AEIS,AEP,AER,AGYS,BAC,CCM,CENT,ERII,ETN,HTH,IDA,IEP,IMOS,INDB,INFI,MT,NBR,NBTB,NC,REG,RELL,SRT,STC,TNK,Total
7/23/2021,1904.295698,4312.484189,2907.495724,1954.885329,3063.906711,2308.818992,2921.301367,2496.44073,1601.320315,2795.590054,2478.089525,2869.462585,3005.010493,3455.209267,2303.476601,2370.705197,1661.599239,2910.623409,1670.390526,3475.283364,2509.943076,3228.636104,2800.032014,5088.058444,3339.327186,2876.315436,1860.539193,2031.452626,3264.479824,4811.285891,3104.630355,3690.058109,1631.128433,2488.806679,4544.0508,99735.13349
7/30/2021,2001.06632,3699.977793,2946.904552,1953.990108,3270.673421,2377.004221,3001.632976,2796.938532,1604.324669,2929.950723,2555.530103,3144.086612,3030.81562,3468.801751,2069.576021,2369.015714,1736.863026,2727.653852,1670.390526,3578.48769,2471.364884,3258.422776,2723.222197,5362.02963,3142.4946,2828.376846,2013.88025,1987.765195,3197.380558,5998.987997,3281.443765,3658.65339,1645.34306,2703.667704,4625.680358,101832.3974
8/6/2021,1859.007616,3394.824979,2881.223172,1803.614389,2838.343026,2246.316197,2988.882818,2829.300218,1415.05041,2895.276672,2274.300285,2725.109347,2942.579518,3224.13705,1631.382528,2206.800467,1797.653812,2696.689773,1625.684211,3420.458036,2435.198581,3227.733827,2573.156351,4892.363037,2981.200402,2545.539161,1822.053554,1784.619824,3039.84468,4713.569115,3102.138925,3383.12511,1709.308881,2593.679394,4486.228879,94986.39425
8/13/2021,1846.879658,3346.411312,2784.890483,1897.599337,2819.546053,2225.481933,2963.379718,2795.089098,1568.272429,2937.535981,2310.981989,2800.80702,2933.971082,3131.708164,1480.38342,2200.041746,1843.969947,2637.576532,1560.656842,3316.507912,2386.977281,3211.34994,2517.682389,4305.278519,2964.798253,2396.92953,1828.668153,1876.363211,2930.446698,4599.655811,3029.919115,3560.149499,1744.845448,2598.794989,4346.778272,93700.32776
8/20/2021,1734.265286,3306.800349,2631.633931,1726.636402,2612.779342,2146.880094,2997.808346,2784.955184,1427.067823,3006.882909,2094.964445,2598.360231,2964.287305,2897.91745,1302.737409,2107.106161,1942.392077,2660.095862,1475.308421,3170.976233,2362.8665,3183.131871,2412.718573,3600.779481,2889.617589,2325.021644,1696.373821,1708.167753,2928.986903,4201.777379,3038.093314,3524.743611,1631.128433,2626.931555,4105.057592,89825.25128
8/27/2021,1876.333227,3475.514572,2874.655034,1848.369079,2819.546053,2192.336438,3075.591129,2930.848139,1412.046057,3083.81711,2262.071981,2693.422068,3019.868015,3142.58215,1379.717347,2243.974622,1951.076318,2702.319606,1394.024211,3437.633851,2408.676434,3280.527535,2443.512529,3639.918222,2944.294052,2401.723389,1886.030002,1841.41361,3060.266269,4743.801984,3263.386818,3638.824948,1595.591866,2693.43556,4167.834737,93824.98496
9/3/2021,1945.633961,3441.771493,2819.920552,1901.179594,2800.749079,2281.355932,3126.594777,2959.654521,1406.03735,3005.800452,2241.693827,2490.975279,3061.132107,3061.02725,1501.108788,2282.98086,1922.128665,2707.949438,1345.253684,3494.13085,2362.8665,3243.208901,2408.422028,3600.779481,3026.307736,2372.960235,1930.200812,1902.57514,3087.076328,4875.824708,3304.577989,3528.678534,1570.716269,2693.43556,4398.025574,94102.73425
9/10/2021,1950.831923,3538.599121,2712.640966,1918.186553,3007.515789,2295.561022,3287.261242,3086.031407,1427.067823,3026.97225,2331.361426,2494.496068,3031.657115,3126.27117,1684.676332,2291.436768,2139.236887,2707.949438,1402.152632,3603.053164,2319.466884,3187.681961,2522.289698,3679.056963,3070.047658,2689.354933,1967.715193,1849.058878,3115.06057,4912.770779,3312.142966,3658.495634,1552.947985,2864.812915,4502.658268,96266.52038
9/17/2021,2033.992959,3964.785884,2778.322345,1962.941154,3082.703684,2285.143842,3285.984509,3067.447246,1336.937224,3010.498487,2388.422567,2112.487973,3040.078126,3207.82607,1773.499337,2227.174794,1991.603142,2738.913517,1373.703158,3617.064207,2271.245322,3122.145259,2747.877587,3953.028149,2985.300986,2559.920738,1940.486184,1989.949691,3090.020838,4700.871897,3206.222739,3804.049059,1464.106567,2816.213652,4425.927892,96356.89679
9/24/2021,2098.096973,3689.708227,3080.45669,2131.218695,3627.815921,2297.455072,3219.678167,2966.158195,1192.728265,3119.231437,2441.408463,2299.091388,3051.027315,3215.98156,1924.498446,2215.337748,2026.340655,2913.438325,1459.051579,3728.247521,2309.822467,3269.604345,2628.27996,5440.307112,3103.412137,2641.416342,1995.548851,1972.475124,3250.561076,4748.140933,3318.028595,4130.558428,1485.428507,2895.50712,4537.535275,100423.5969
10/1/2021,2113.689696,3814.410172,3128.623034,2201.9313,3496.237105,2302.190007,3296.475565,3041.428134,1207.750032,3202.705041,2535.151949,2302.611646,3035.868148,3232.29254,2111.026756,2250.850663,2017.655865,2989.441064,1471.244211,3750.393142,2302.589416,3301.464075,2543.773859,5714.278298,3133.729766,2679.767215,2052.426323,1957.183962,3247.615501,4977.425914,3465.982175,4008.610613,1538.733358,2938.991743,4185.275058,101549.8233
10/8/2021,2274.81497,4019.068022,3198.683172,2344.251194,3665.409868,2400.679561,3327.685686,3092.536216,1126.632492,3159.869663,2608.515998,2591.318653,3013.972937,3398.120837,2158.399026,2130.782426,2023.445725,3051.369222,1495.629474,3780.222646,2345.988246,3281.438142,2610.376664,5753.418741,3202.634469,2866.727718,2135.92725,2101.351831,3305.057199,5447.947292,3523.98715,4276.111852,1599.145522,2967.12831,4199.226617,104477.8748
